ID,DATE,RSXFSN
317,6/1/2018,443603
321,10/1/2018,441746
329,6/1/2019,447578
333,10/1/2019,454941
338,3/1/2020,426258
341,6/1/2020,479784
342,7/1/2020,492689
345,10/1/2020,493601
347,12/1/2020,557696
348,1/1/2021,461308
351,4/1/2021,554269
352,5/1/2021,565177
353,6/1/2021,557446
354,7/1/2021,552179
355,8/1/2021,550169
357,10/1/2021,553588
358,11/1/2021,574978
360,1/1/2022,516923
361,2/1/2022,507901
362,3/1/2022,598541
363,4/1/2022,596690
364,5/1/2022,616626
365,6/1/2022,609743
366,7/1/2022,599929
367,8/1/2022,613508
368,9/1/2022,577966
369,10/1/2022,597170
370,11/1/2022,605205
372,1/1/2023,547156
373,2/1/2023,529374
374,3/1/2023,604084
375,4/1/2023,588220
376,5/1/2023,631059
377,6/1/2023,613207
